Time,price
2006/3/28,563.6
2006/3/29,573.6
2006/3/30,588.65
2006/3/31,583.65
2006/4/1,583.65
2006/4/2,583.65
2006/4/3,587.85
2006/4/4,586.7
2006/4/5,588.5
2006/4/6,595.3
2006/4/7,588.85
2006/4/8,588.85
2006/4/9,588.85
2006/4/10,599.75
2006/4/11,593.41
2006/4/12,598.38
2006/4/13,596.47
2006/4/14,602.99
2006/4/15,602.99
2006/4/16,602.99
2006/4/17,613.47
2006/4/18,621.07
2006/4/19,640.2
2006/4/20,612.5
2006/4/21,633.97
2006/4/22,633.97
2006/4/23,633.97
2006/4/24,620.7
2006/4/25,630.3
2006/4/26,638.63
2006/4/27,633.63
2006/4/28,654.42
2006/4/29,654.42
2006/4/30,654.42
2006/5/1,655.1
2006/5/2,668.8
2006/5/3,667
2006/5/4,679.7
2006/5/5,683.8
2006/5/6,683.8
2006/5/7,683.8
2006/5/8,678.7
2006/5/9,700.9
2006/5/10,707.9
2006/5/11,714.3
2006/5/12,714.8
2006/5/13,714.8
2006/5/14,714.8
2006/5/15,677.4
2006/5/16,690.4
2006/5/17,687.1
2006/5/18,682.3
2006/5/19,657.6
2006/5/20,657.6
2006/5/21,657.6
2006/5/22,656.05
2006/5/23,666.5
2006/5/24,640.7
2006/5/25,650.9
2006/5/26,653.7
2006/5/27,653.7
2006/5/28,653.7
2006/5/29,647.77
2006/5/30,652.9
2006/5/31,645.2
2006/6/1,629.6
2006/6/2,638.2
2006/6/3,638.2
2006/6/4,638.2
2006/6/5,637.15
2006/6/6,630.65
2006/6/7,626.45
2006/6/8,613.25
2006/6/9,607.45
2006/6/10,607.45
2006/6/11,607.45
2006/6/12,604.25
2006/6/13,562.05
2006/6/14,559.75
2006/6/15,577.05
2006/6/16,581.15
2006/6/17,581.15
2006/6/18,581.15
2006/6/19,565.25
2006/6/20,575.85
2006/6/21,587.55
2006/6/22,580.65
2006/6/23,583.05
2006/6/24,583.05
2006/6/25,583.05
2006/6/26,585.25
2006/6/27,579.05
2006/6/28,580.15
2006/6/29,599.65
2006/6/30,615.85
2006/7/1,615.85
2006/7/2,615.85
2006/7/3,623.49
2006/7/4,620.24
2006/7/5,628.15
2006/7/6,633.03
2006/7/7,629.25
2006/7/8,629.25
2006/7/9,629.25
2006/7/10,624.15
2006/7/11,641.45
2006/7/12,651.53
2006/7/13,660.05
2006/7/14,664.15
2006/7/15,664.15
2006/7/16,664.15
2006/7/17,643.03
2006/7/18,633.05
2006/7/19,642.75
2006/7/20,628.15
2006/7/21,619.75
2006/7/22,619.75
2006/7/23,619.75
2006/7/24,615.25
2006/7/25,619.13
2006/7/26,624.75
2006/7/27,634.35
2006/7/28,634.75
2006/7/29,634.75
2006/7/30,634.75
2006/7/31,636.74
2006/8/1,646.84
2006/8/2,651.25
2006/8/3,644.92
2006/8/4,646.5
2006/8/5,646.5
2006/8/6,646.5
2006/8/7,648.65
2006/8/8,642.55
2006/8/9,650.03
2006/8/10,636.25
2006/8/11,632.55
2006/8/12,632.55
2006/8/13,632.55
2006/8/14,626.7
2006/8/15,624.8
2006/8/16,629.05
2006/8/17,614
2006/8/18,614.9
2006/8/19,614.9
2006/8/20,614.9
2006/8/21,628.1
2006/8/22,625
2006/8/23,622.34
2006/8/24,621.4
2006/8/25,622.53
2006/8/26,622.53
